	col0_1	col0_2	col0_3	ring1ab_1	ring1ab_2	ring1ab_3	emf1_1	emf1_2	emf1_3	clfswn_1	clfswn_2	clfswn_3
AT2G39780	61.00077	66.25592	59.90174	63.31711	72.34393	72.90651	77.1781	74.13961	77.01117	77.98337	78.64038	84.52791
AT2G39782	0	0	0	0	0	0	0	0	0	0	0	0
AT2G39790	0	0	0	0	0	0	0	0	0.192882	0	0	0
AT2G39795	7.984529	10.14962	10.09908	10.11311	10.87213	9.495973	25.23668	21.10235	21.48821	18.44964	21.8186	17.57679
AT2G39800	11.72201	15.07941	13.86332	19.65432	23.42802	19.73289	7.364783	6.526507	7.380061	18.35737	16.41548	18.07894
AT2G39805	15.9152	21.28769	20.00204	19.48035	20.52514	20.01425	17.30648	19.91591	19.52507	20.89154	20.93707	21.86592
AT2G39810	13.9862	14.48814	15.2252	11.94794	12.12284	12.50507	19.85721	19.12601	18.92273	15.5824	14.49053	14.44607
AT2G39820	0.119849	0.16785	0	2.710133	2.897153	3.38872	0.21978	0.522824	0.614215	0	0.228129	0
AT2G39830	2.00876	2.448026	2.847516	3.084926	3.3189	3.481214	1.817547	1.278589	1.888936	2.536481	3.035109	2.018326
AT2G39840	10.36157	12.13168	11.1657	15.90701	11.77042	10.95713	17.02014	20.46772	17.65366	12.3942	12.68041	13.91738
AT2G39850	7.47527	7.312118	8.381278	3.393076	2.88102	3.641037	0.541873	0.29034	0.505552	2.68819	3.313673	2.140069
AT2G39851	0	0	0	0	0	0	0	0	0	0	0	0
AT2G39855	0.04915923	0	0	0.4921059	0.2462136	0.2621769	0.2128593	0.08163183	0	0.4478545	0.5003057	0.3691759
AT2G39860	0	0	0	0	0	0	0	0	0	0	0	0
AT2G39865	0	0	0	0	0	0	0	0	0	0	0	0
AT2G39870	36.00391	40.11009	37.75098	39.96784	38.55452	49.56017	40.41922	33.89873	30.77312	38.05085	38.85723	38.38497
AT2G39880	1.384794	1.029818	1.87083	1.243494	1.357743	1.133804	1.098782	0.384218	1.155881	1.350665	1.644828	1.43362
AT2G39885	0	0	0.246497	0	0.795453	0.228299	0.881051	0.471751	0.63312	0.155212	0.512168	0.245363
AT2G39890	12.42668	12.93022	13.58326	13.38332	15.12208	14.98961	23.28939	23.61317	21.3866	19.71825	17.95859	20.64944
